,ID,SRM,Name,DateIssued,Measureand,InChI,CertRef,Value,Uncertainty,95low,95high,u,UnitNumerator,UnitDenominator,Mass/Volume,WetDry,Uncertainty.1,k
60,,SRM 1566b,Oyster Tissue,2011-02-07,Protein,,Ref,42.6,1.3,41.300000000000004,43.9,0.65,%,,,wet,1.3,2.0
61,,SRM 1566b,Oyster Tissue,2011-02-07,Protein,,Ref,44.7,2.6,42.1,47.300000000000004,1.3,%,,,dry,2.6,2.0
62,,SRM 1566b,Oyster Tissue,2011-02-07,Protein Nitrogen,,Ref,6.82,0.2,6.62,7.0200000000000005,0.1,%,,,wet,0.2,2.0
63,,SRM 1566b,Oyster Tissue,2011-02-07,Protein Nitrogen,,Ref,7.16,0.42,6.74,7.58,0.21,%,,,dry,0.42,2.0
64,,SRM 1566b,Oyster Tissue,2011-02-07,Rubidium,1S/Rb,Cert,3.26,0.14,3.1199999999999997,3.4,0.07,mg,kg,M,dry,0.14,2.0
65,,SRM 1566b,Oyster Tissue,2011-02-07,Selenium,,Cert,2.06,0.15,1.9100000000000001,2.21,0.075,mg,kg,M,dry,0.15,2.0
66,,SRM 1566b,Oyster Tissue,2011-02-07,Silver,1S/Ag,Cert,0.666,0.009,0.657,0.675,0.0045,mg,kg,M,dry,0.009,2.0
67,,SRM 1566b,Oyster Tissue,2011-02-07,Sodium,1S/Na,Cert,0.3297,0.0053,0.32439999999999997,0.335,0.00265,%,,,dry,0.0053,2.0
68,,SRM 1566b,Oyster Tissue,2011-02-07,Solids,,Ref,95.4,3.6,91.80000000000001,99.0,1.8,%,,,wet,3.6,2.0
69,,SRM 1566b,Oyster Tissue,2011-02-07,Solids,,Ref,100.0,0.0,100.0,100.0,0.0,%,,,dry,0.0,2.2
70,,SRM 1566b,Oyster Tissue,2011-02-07,Strontium,,Ref,6.8,0.2,6.6,7.0,0.09090909090909091,mg,kg,M,dry,0.2,2.2
71,,SRM 1566b,Oyster Tissue,2011-02-07,Sulfur,1S/H2S/h1H2,Cert,0.689,0.014,0.6749999999999999,0.703,0.007,%,,,dry,0.014,2.0
72,,SRM 1566b,Oyster Tissue,2011-02-07,Thorium,1S/Th,Cert,0.0367,0.0043,0.032400000000000005,0.041,0.00215,mg,kg,M,dry,0.0043,2.0
73,,SRM 1566b,Oyster Tissue,2011-02-07,Tin,,Ref,0.031,0.008,0.023,0.039,0.004,mg,kg,M,dry,0.008,2.0
74,,SRM 1566b,Oyster Tissue,2011-02-07,Total Dietary Fiber,,Ref,6.5,1.6,4.9,8.1,0.8,%,,,wet,1.6,2.0
75,,SRM 1566b,Oyster Tissue,2011-02-07,Total Dietary Fiber,,Ref,6.8,1.4,5.4,8.2,0.7,%,,,dry,1.4,2.0
76,,SRM 1566b,Oyster Tissue,2011-02-07,Uranium,1S/U,Ref,0.255,0.0014,0.2536,0.2564,0.0007,mg,kg,M,dry,0.0014,2.0
77,,SRM 1566b,Oyster Tissue,2011-02-07,Vanadium,1S/V,Cert,0.577,0.023,0.5539999999999999,0.6,0.0115,mg,kg,M,dry,0.023,2.0
78,,SRM 1566b,Oyster Tissue,2011-02-07,Zinc,1S/Zn,Cert,1424.0,46.0,1378.0,1470.0,23.0,mg,kg,M,dry,46.0,2.0
79,,SRM 1568b,Rice Flour,2013-10-23,Aluminum,,Cert,4.21,0.34,3.87,4.55,0.17,mg,kg,M,dry,0.34,2.0
80,,SRM 1568b,Rice Flour,2013-10-23,Arsenic,,Cert,0.285,0.014,0.27099999999999996,0.299,0.007,mg,kg,M,dry,0.014,2.0
81,,SRM 1568b,Rice Flour,2013-10-23,Bromine,1S/Br,Cert,8.31,0.61,7.7,8.92,0.305,mg,kg,M,dry,0.61,2.0
82,,SRM 1568b,Rice Flour,2013-10-23,Cadmium,1S/Cd,Cert,0.0224,0.0013,0.0211,0.0237,0.00065,mg,kg,M,dry,0.0013,2.0
83,,SRM 1568b,Rice Flour,2013-10-23,Calcium,,Cert,118.4,3.1,115.30000000000001,121.5,1.55,mg,kg,M,dry,3.1,2.0
84,,SRM 1568b,Rice Flour,2013-10-23,Chlorine,,Cert,301.1,3.8,297.3,304.90000000000003,1.9,mg,kg,M,dry,3.8,2.0
85,,SRM 1568b,Rice Flour,2013-10-23,Cobalt,1S/Co,Ref,0.0177,0.0005,0.0172,0.0182,0.0001923076923076923,mg,kg,M,dry,0.0005,2.6
86,,SRM 1568b,Rice Flour,2013-10-23,Copper,1S/Cu,Cert,2.35,0.16,2.19,2.5100000000000002,0.08,mg,kg,M,dry,0.16,2.0
87,,SRM 1568b,Rice Flour,2013-10-23,Dimethyarsinic acid (DMA),,Cert,0.18,0.012,0.16799999999999998,0.192,0.006,mg,kg,M,dry,0.012,2.0
88,,SRM 1568b,Rice Flour,2013-10-23,Inorganic arsenic (iAs),,Cert,0.092,0.01,0.082,0.102,0.005102040816326531,mg,kg,M,dry,0.01,1.96
89,,SRM 1568b,Rice Flour,2013-10-23,Iron,1S/Fe,Cert,7.42,0.44,6.9799999999999995,7.86,0.22,mg,kg,M,dry,0.44,2.0
90,,SRM 1568b,Rice Flour,2013-10-23,Lead,,Ref,0.008,0.003,0.005,0.011,0.0015228426395939086,mg,kg,M,dry,0.003,1.97
91,,SRM 1568b,Rice Flour,2013-10-23,Magnesium,,Cert,559.0,10.0,549.0,569.0,5.0,mg,kg,M,dry,10.0,2.0
92,,SRM 1568b,Rice Flour,2013-10-23,Manganese,1S/Mn,Cert,19.2,1.8,17.4,21.0,0.9,mg,kg,M,dry,1.8,2.0
93,,SRM 1568b,Rice Flour,2013-10-23,Mercury,1S/Hg,Cert,0.00591,0.00036,0.00555,0.00627,0.00018,mg,kg,M,dry,0.00036,2.0
94,,SRM 1568b,Rice Flour,2013-10-23,Molybdenum,1S/Mo,Cert,1.451,0.048,1.403,1.499,0.024,mg,kg,M,dry,0.048,2.0
95,,SRM 1568b,Rice Flour,2013-10-23,Monomethylarsonic acid (MMA),,Cert,0.0116,0.0035,0.0081,0.015099999999999999,0.00175,mg,kg,M,dry,0.0035,2.0
96,,SRM 1568b,Rice Flour,2013-10-23,Phosphorus,,Cert,1530.0,40.0,1490.0,1570.0,20.0,mg,kg,M,dry,40.0,2.0
97,,SRM 1568b,Rice Flour,2013-10-23,Potassium,1S/K,Cert,1282.0,11.0,1271.0,1293.0,5.5,mg,kg,M,dry,11.0,2.0
98,,SRM 1568b,Rice Flour,2013-10-23,Rubidium,1S/Rb,Cert,6.198,0.026,6.172000000000001,6.224,0.013,mg,kg,M,dry,0.026,2.0
99,,SRM 1568b,Rice Flour,2013-10-23,Selenium,,Cert,0.365,0.029,0.33599999999999997,0.394,0.0145,mg,kg,M,dry,0.029,2.0
100,,SRM 1568b,Rice Flour,2013-10-23,Sodium,1S/Na,Cert,6.74,0.19,6.55,6.930000000000001,0.095,mg,kg,M,dry,0.19,2.0
101,,SRM 1568b,Rice Flour,2013-10-23,Sulfur,1S/H2S/h1H2,Cert,1200.0,10.0,1190.0,1210.0,5.0,mg,kg,M,dry,10.0,2.0
102,,SRM 1568b,Rice Flour,2013-10-23,Tin,,Ref,0.005,0.001,0.004,0.006,0.0005,mg,kg,M,dry,0.001,2.0
103,,SRM 1568b,Rice Flour,2013-10-23,Zinc,1S/Zn,Cert,19.42,0.26,19.16,19.680000000000003,0.13,mg,kg,M,dry,0.26,2.0
104,,SRM 1573a,Tomato Leaves,1995-11-22,Aluminum,,Cert,598.0,12.0,586.0,610.0,6.0,mg,kg,M,,12.0,2.0
105,,SRM 1573a,Tomato Leaves,1995-11-22,Antimony,,Cert,0.063,0.006,0.057,0.069,0.003,mg,kg,M,,0.006,2.0
106,,SRM 1573a,Tomato Leaves,1995-11-22,Arsenic,,Cert,0.112,0.004,0.108,0.116,0.002,mg,kg,M,,0.004,2.0
107,,SRM 1573a,Tomato Leaves,1995-11-22,Barium,,Ref,63.0,,,,,mg,kg,M,,,2.0
108,,SRM 1573a,Tomato Leaves,1995-11-22,Boron,,Cert,33.3,0.7,32.599999999999994,34.0,0.35,mg,kg,M,,0.7,2.0
109,,SRM 1573a,Tomato Leaves,1995-11-22,Bromine,1S/Br,Ref,1300.0,,,,,mg,kg,M,,,2.0
110,,SRM 1573a,Tomato Leaves,1995-11-22,Cadmium,1S/Cd,Cert,1.52,0.04,1.48,1.56,0.02,mg,kg,M,,0.04,2.0
111,,SRM 1573a,Tomato Leaves,1995-11-22,Calcium,,Cert,5.05,0.09,4.96,5.14,0.045,%,,,,0.09,2.0
112,,SRM 1573a,Tomato Leaves,1995-11-22,Cerium,1S/Ce,Ref,2.0,,,,,mg,kg,M,,,2.0
113,,SRM 1573a,Tomato Leaves,1995-11-22,Cesium,1S/Cs,Ref,0.053,,,,,mg,kg,M,,,2.0
114,,SRM 1573a,Tomato Leaves,1995-11-22,Chlorine,,Ref,6600.0,,,,,mg,kg,M,,,2.0
115,,SRM 1573a,Tomato Leaves,1995-11-22,Chromium,1S/Cr,Cert,1.99,0.06,1.93,2.05,0.03,mg,kg,M,,0.06,2.0
116,,SRM 1573a,Tomato Leaves,1995-11-22,Cobalt,1S/Co,Cert,0.57,0.02,0.5499999999999999,0.59,0.01,mg,kg,M,,0.02,2.0
117,,SRM 1573a,Tomato Leaves,1995-11-22,Copper,1S/Cu,Cert,4.7,0.14,4.5600000000000005,4.84,0.07,mg,kg,M,,0.14,2.0
118,,SRM 1573a,Tomato Leaves,1995-11-22,Gadolinium,1S/Gd,Ref,0.17,,,,,mg,kg,M,,,2.0
119,,SRM 1573a,Tomato Leaves,1995-11-22,Hafnium,1S/Hf,Ref,0.14,,,,,mg,kg,M,,,2.0
120,,SRM 1573a,Tomato Leaves,1995-11-22,Hydrogen,1S/H2/h1H,Ref,5.2,,,,,%,,,,,2.0
121,,SRM 1573a,Tomato Leaves,1995-11-22,Iodine,1S/I,Ref,0.85,,,,,mg,kg,M,,,2.0
122,,SRM 1573a,Tomato Leaves,1995-11-22,Iron,1S/Fe,Cert,368.0,7.0,361.0,375.0,3.5,mg,kg,M,,7.0,2.0
123,,SRM 1573a,Tomato Leaves,1995-11-22,Lanthanum,1S/La,Ref,2.3,,,,,mg,kg,M,,,2.0
124,,SRM 1573a,Tomato Leaves,1995-11-22,Magnesium,,Ref,1.2,,,,,%,,,,,2.0
125,,SRM 1573a,Tomato Leaves,1995-11-22,Manganese,1S/Mn,Cert,246.0,8.0,238.0,254.0,4.0,mg,kg,M,,8.0,2.0
126,,SRM 1573a,Tomato Leaves,1995-11-22,Mercury,1S/Hg,Cert,0.034,0.004,0.030000000000000002,0.038000000000000006,0.002,mg,kg,M,,0.004,2.0
127,,SRM 1573a,Tomato Leaves,1995-11-22,Molybdenum,1S/Mo,Ref,0.46,,,,,mg,kg,M,,,2.0
128,,SRM 1573a,Tomato Leaves,1995-11-22,Nickel,1S/Ni,Cert,1.59,0.07,1.52,1.6600000000000001,0.035,mg,kg,M,,0.07,2.0
129,,SRM 1573a,Tomato Leaves,1995-11-22,"Nitrogen, Kjeldahl",,Ref,2.92,,,,,%,,,,,2.0
130,,SRM 1573a,Tomato Leaves,1995-11-22,"Nitrogen, Total",,Cert,3.03,0.15,2.88,3.1799999999999997,0.075,%,,,,0.15,2.0
131,,SRM 1573a,Tomato Leaves,1995-11-22,Phosphorus,,Cert,0.216,0.004,0.212,0.22,0.002,%,,,,0.004,2.0
132,,SRM 1573a,Tomato Leaves,1995-11-22,Potassium,1S/K,Cert,2.7,0.05,2.6500000000000004,2.75,0.025,%,,,,0.05,2.0
133,,SRM 1573a,Tomato Leaves,1995-11-22,Rubidium,1S/Rb,Cert,14.89,0.27,14.620000000000001,15.16,0.135,mg,kg,M,,0.27,2.0
134,,SRM 1573a,Tomato Leaves,1995-11-22,Samarium,1S/Sm,Ref,0.19,,,,,mg,kg,M,,,2.0
135,,SRM 1573a,Tomato Leaves,1995-11-22,Scandium,1S/Sc,Ref,0.1,,,,,mg,kg,M,,,2.0
136,,SRM 1573a,Tomato Leaves,1995-11-22,Selenium,,Cert,0.054,0.003,0.051,0.057,0.0015,mg,kg,M,,0.003,2.0
137,,SRM 1573a,Tomato Leaves,1995-11-22,Silver,1S/Ag,Ref,0.017,,,,,mg,kg,M,,,2.0
138,,SRM 1573a,Tomato Leaves,1995-11-22,Sodium,1S/Na,Cert,136.0,4.0,132.0,140.0,2.0,mg,kg,M,,4.0,2.0
139,,SRM 1573a,Tomato Leaves,1995-11-22,Strontium,,Ref,85.0,,,,,mg,kg,M,,,2.2
140,,SRM 1573a,Tomato Leaves,1995-11-22,Sulfur,1S/H2S/h1H2,Ref,0.96,,,,,%,,,,,2.0
141,,SRM 1573a,Tomato Leaves,1995-11-22,Thorium,1S/Th,Ref,0.12,,,,,mg,kg,M,,,2.0
142,,SRM 1573a,Tomato Leaves,1995-11-22,Uranium,1S/U,Ref,0.035,,,,,mg,kg,M,,,2.0
143,,SRM 1573a,Tomato Leaves,1995-11-22,Vanadium,1S/V,Cert,0.835,0.01,0.825,0.845,0.005,mg,kg,M,,0.01,2.0
144,,SRM 1573a,Tomato Leaves,1995-11-22,Zinc,1S/Zn,Cert,30.9,0.7,30.2,31.599999999999998,0.35,mg,kg,M,,0.7,2.0
145,,SRM 1577c,Bovine Liver,2009-06-15,Ag,1S/Ag,Cert,5.9,1.6,4.300000000000001,7.5,0.8,µg,kg,M,,1.6,2.0
146,,SRM 1577c,Bovine Liver,2009-06-15,As,1S/As,Cert,19.6,1.4,18.200000000000003,21.0,0.7,µg,kg,M,,1.4,2.0
147,,SRM 1577c,Bovine Liver,2009-06-15,Ca,,Cert,131.0,10.0,121.0,141.0,5.0,mg,kg,M,,10.0,2.0
148,,SRM 1577c,Bovine Liver,2009-06-15,Cd,1S/Cd,Cert,97.0,1.4,95.6,98.4,0.7,µg,kg,M,,1.4,2.0
149,,SRM 1577c,Bovine Liver,2009-06-15,Cl,1S/ClH/h1H/p-1,Ref,0.287,0.013,0.27399999999999997,0.3,0.0065,%,,,,0.013,2.0
150,,SRM 1577c,Bovine Liver,2009-06-15,Co,1S/Co,Cert,0.3,0.018,0.282,0.318,0.009,mg,kg,M,,0.018,2.0
151,,SRM 1577c,Bovine Liver,2009-06-15,Cr,1S/Cr,Cert,53.0,14.0,39.0,67.0,7.0,µg,kg,M,,14.0,2.0
